time,open,high,low,close,RSI,Plot,Plot,Plot,Volume,Volume MA,Histogram,MACD,Signal
1592092800,9475,9481,9427,9436.3,43.865443240965,9500.036000000006,9620.559800000015,9441.484449999996,498.35567,2235.140299000002,5.051686814502688,-65.20237160016586,-70.25405841466855
1592107200,9436.3,9442.53,9375.34,9408.27,42.19634202507817,9475.747500000005,9616.461000000016,9445.663799999997,582.32318,2171.7454945000018,4.964203794888746,-64.04880367105761,-69.01300746594636
1592121600,9408.64,9438.69,9389.2,9428.03,43.819258410079115,9452.547500000004,9612.521600000016,9449.209999999997,224.0039,2038.2808290000023,6.539354819816012,-60.83881394117634,-67.37816876099235
1592136000,9426.34,9433.33,9305,9415,42.96266603417517,9433.671500000006,9608.676800000017,9452.995149999997,1089.27498,1977.7284165000024,6.966554924758924,-58.669975105043704,-65.63653002980263
1592150400,9415,9426.62,9365.53,9394.87,41.60939548621339,9414.449000000004,9602.791400000016,9455.961549999996,609.8542,1902.0212620000025,6.182863496175997,-57.90795065958264,-64.09081415575864
1592164800,9394.88,9408.93,9240,9325,37.22635418166833,9405.196500000005,9596.291000000016,9458.212349999996,1825.99984,1726.8638010000025,1.4929085180565593,-62.224678508187935,-63.717587026244495
1592179200,9328.63,9359.85,9124.89,9150.07,28.99213251114294,9398.939500000006,9586.068600000017,9459.964899999997,3020.05556,1334.9690310000024,-12.107647987454385,-78.85214701056248,-66.74449902310809
1592193600,9150.05,9214.8,8895.01,9106.15,27.356039497795138,9390.839000000005,9574.757600000017,9461.388549999996,5687.32924,1455.5766815000022,-22.191885341783035,-94.48435570033689,-72.29247035855386
1592208000,9110.39,9146.26,9061.1,9101.15,27.168073614164385,9378.244500000004,9563.059600000017,9462.311949999996,1416.28295,1435.5398800000023,-27.00916631761227,-106.05392825556919,-79.04476193795692
1592222400,9103.29,9314.68,9029.97,9300.95,43.78906075773139,9371.778500000006,9555.983600000018,9464.452999999996,3929.74923,1555.2270620000022,-15.141274341078372,-97.97135486430489,-82.83008052322651
1592236800,9300.95,9458.8,9281.99,9420.56,50.99849413549919,9368.146000000006,9552.945200000018,9466.356249999997,2873.16421,1643.4597745000024,1.4793978537577885,-80.98083320602927,-82.46023105978706
