time,open,high,low,close,RSI,Plot,Plot,Plot,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,Bollinger Bands Width
1437523200,277.33,278.54,275.01,277.89,54.465452930016376,278.70049999999986,255.8198,251.4278,278.70049999999986,303.185027747126,254.21597225287368,4687.92275,7625.732838499993,-2.271826049635253,6.473493596935043,8.745319646570296,0.17570494309932116
1437609600,277.96,279.75,276.28,277.39,54.040254640585424,279.7224999999999,256.8504,250.96474999999998,279.7224999999999,302.1064405601356,257.33855943986424,5306.93344,7651.929700499993,-2.316915013475729,5.849175879725635,8.166090893201364,0.1600439046564769
1437696000,277.23,291.52,276.43,289.12,61.61174613007381,281.1464999999999,258.1414,250.52035,281.1464999999999,302.06930886974277,260.223691130257,7362.48241,7815.475384499992,-1.5495868842882654,6.229107287841032,7.778694172129297,0.148839191451737
1437782400,289.12,291.67,286.82,289.7,61.94557481820738,282.04449999999986,259.43600000000004,250.07885,282.04449999999986,302.8164604033844,261.27253959661533,4099.49969,7597.809629499992,-1.0213111984155647,6.502055174109842,7.523366372525406,0.14729562465061036
1437868800,289.68,294.49,288.65,293.89,64.35698163716357,283.2419999999999,260.80420000000004,249.66279999999998,283.2419999999999,303.8453420589885,262.63865794101133,3735.25897,7283.892982499992,-0.4378524959917325,6.976050752535741,7.413903248527474,0.1454822523424392
1437955200,293.88,297,287.24,294.21,64.54178201834881,284.6434999999999,262.2106,249.24384999999998,284.6434999999999,304.2005430024522,265.0864569975476,6461.0459,7257.787400999992,-0.09636842173474491,7.2934427213590425,7.389811143093787,0.13741429544291234
1438041600,294.22,298,293.65,295.76,65.47551353702583,285.8829999999999,263.54380000000003,248.84765,285.8829999999999,304.95273738675604,266.8132626132438,5761.88331,7155.975100999994,0.15426485358878494,7.582642210079769,7.428377356490984,0.13340938346635597
1438128000,295.74,296.58,289.01,290.19,59.420063750671645,286.90499999999986,264.764,248.4961,286.90499999999986,304.54394157822014,269.2660584217796,5223.52019,7068.635324499994,-0.11991736941870368,7.278480644717604,7.3983980141363075,0.12296015460323306
1438214400,290.26,291.56,286.56,288.49,57.667095770099024,286.99599999999987,265.9592,248.18855,286.99599999999987,304.6479272602147,269.344072739785,5138.99481,6530.946822499993,-0.46142301930352936,6.821619240006896,7.283042259310426,0.12301166051244516
1438300800,288.49,290,282.79,285.19,54.31722432570779,286.54399999999987,267.0692,247.9145,286.54399999999987,303.89218422775025,269.1958157722495,5676.63172,6389.297337999994,-0.9282799841162994,6.122692279165051,7.05097226328135,0.1210856568467697
1438387200,285.2,285.6,277.26,281.53,50.79305911638744,285.0124999999999,268.1104,247.87720000000002,285.0124999999999,297.8721141077368,272.15288589226293,3932.46221,5940.044664499994,-1.470089932246104,5.21335984797372,6.683449780219824,0.0902389481706027
1438473600,281.53,282.62,277.33,282.62,51.796127893240104,284.48949999999985,269.0934000000001,247.99030000000002,284.48949999999985,296.83467958557065,272.14432041442905,3361.09862,5461.322769499994,-1.7239918500009193,4.528459967718675,6.252451817719594,0.08678829683043354
1438560000,282.62,285.86,280.27,280.95,50.110702648571745,284.1614999999998,270.0404000000001,248.79505,284.1614999999998,296.5168248035013,271.8061751964983,4741.74178,5341.110951999994,-1.956336059923255,3.807031742815525,5.76336780273878,0.08695987882595996
1438646400,280.95,286.47,280.11,285.51,54.46749442612748,284.1519999999999,271.0108000000001,249.2015,284.1519999999999,296.5028697669453,271.80113023305444,5580.2341,5240.631424499994,-1.7609455176129662,3.562185905722572,5.323131423335538,0.08693142942471242
1438732800,285.6,286.25,282.01,282.77,51.55413971478259,284.3214999999999,271.6280000000001,249.61805,284.3214999999999,296.49756878265725,272.14543121734255,5765.50047,5098.671702499994,-1.76955720912955,3.1111849119236012,4.880742121053151,0.08565000383479517
1438819200,282.44,282.61,278.95,279.65,48.38079204553975,284.27499999999986,272.2160000000001,250.0963,284.27499999999986,296.5148047370065,272.0351952629932,5027.86847,5001.213567499994,-1.9257996429558988,2.473492567358278,4.399292210314177,0.08611242449745242
1438905600,279.37,281.17,277.05,279.94,48.696893042698775,284.38649999999984,272.8294000000001,250.36845000000002,284.38649999999984,296.42401182762234,272.34898817237735,5209.85988,5047.742872499994,-1.9443761588659108,1.9688220117317883,3.913198170597699,0.0846560003911754
1438992000,280.06,280.16,260.07,262.02,34.597880093636036,283.7069999999998,273.1432000000001,250.58855,283.7069999999998,298.79678078038677,268.6172192196129,6081.43681,5178.604766499994,-3.033380564344455,0.1214724651671304,3.1548530295115853,0.10637580870677815
1439078400,262.02,268.8,260.97,267.63,40.41409610048069,283.08849999999984,273.5732000000001,250.79914999999997,283.08849999999984,299.67514917938934,266.50185082061034,5046.99097,5157.1469514999935,-3.2276777054150556,-0.8797441022572343,2.3479336031578213,0.11718348982307304
1439164800,267.6,268.89,263.17,265.15,38.772573622674855,282.47999999999985,273.9830000000001,250.99329999999998,282.47999999999985,300.68271078713707,264.2772892128626,5478.51862,5183.994255999994,-3.359932659221313,-1.8519822208688197,1.507950438352493,0.12887787303269066
1439251200,265.15,271.99,264.91,271.99,45.364034660309095,282.18499999999983,274.4728000000001,251.17824999999996,282.18499999999983,300.8607859272403,263.5092140727594,5795.97682,5239.3969594999935,-2.8439291558322437,-2.0469610064378116,0.7969681493944321,0.13236554690887503
1439337600,271.99,272.4,265.79,266.94,41.78719961520479,281.6624999999998,274.9212000000001,251.31294999999997,281.6624999999998,301.4001937609287,261.9248062390709,6338.63084,5290.981829499994,-2.70096969960763,-2.579243975115105,0.12172572449252461,0.14015137805656702
1439424000,266.81,267.82,262.94,264.67,40.250879301183055,280.43999999999977,275.4138000000001,251.36364999999998,280.43999999999977,301.1818581617031,259.69814183829646,5343.43593,5190.029505499993,-2.615752034297603,-3.147964318379479,-0.5322122840818763,0.1479236782320876
1439510400,264.48,267.98,262.5,266.17,41.77424345063152,279.2634999999998,275.88840000000005,251.32209999999995,279.2634999999998,300.43577269331587,258.0912273066837,6859.09058,5328.009049999994,-2.324638635128533,-3.438010577992543,-1.1133719428640096,0.15162935860444413
1439596800,266.21,267.69,261.77,262.46,39.1177232874028,277.6919999999998,276.27760000000006,251.31614999999994,277.6919999999998,298.9539684883645,256.43003151163504,4116.07418,5347.049810499994,-2.2469261310808832,-3.922029606715114,-1.6751034756342305,0.15313346072889936
1439683200,262.45,263.1,255.67,259.2,36.89733997385241,275.9414999999998,276.42980000000006,251.43169999999995,275.9414999999998,297.24023824901735,254.64276175098223,5493.64997,5298.680013999994,-2.2732038438318685,-4.516608280424066,-2.2434044365921975,0.15437140298952914
1439769600,259.2,261.57,255.58,257.31,35.63448421455654,274.0189999999998,276.59380000000004,251.54309999999995,274.0189999999998,294.74879006165116,253.2892099383484,6966.02608,5358.887152499994,-2.2706717979105546,-5.0817441839803905,-2.811072386069836,0.1513018444826921
1439856000,257.56,258.04,200,221.99,21.100295341001313,270.6089999999998,275.88280000000003,251.50769999999994,270.6089999999998,300.14397783984555,241.0740221601541,11533.67068,5674.394676999994,-4.37846426850979,-8.284152721707073,-3.9056884531972837,0.21828525909962895
1439942400,221.99,238.99,214.91,227.34,26.022267030427642,267.5514999999998,275.1532,251.55214999999993,267.5514999999998,301.3955087903327,233.7074912096669,13329.70396,6083.930134499993,-5.093029504809012,-10.271975334208548,-5.178945829399536,0.25299061145486335
1440028800,227.46,238.2,227.45,235.56,32.94384477771993,265.0699999999998,274.684,251.58499999999992,265.0699999999998,300.6122767982009,229.52772320179875,8819.53878,6241.075487499993,-4.702123471883853,-11.056600169254352,-6.354476697370499,0.2681727603893395
1440115200,235.56,236.99,231.15,232.85,31.88466873463618,262.63599999999985,274.244,251.56009999999992,262.63599999999985,299.95885326713375,225.31314673286596,8328.39155,6460.871954499993,-4.3256313791265955,-11.761515921278743,-7.435884542152148,0.2842173446681637
1440201600,232.85,235.53,222.68,231.15,31.206858332642184,260.0624999999999,273.728,251.5729499999999,260.0624999999999,298.59696969921924,221.52803030078053,7192.32067,6652.433056999993,-3.9035951730940877,-12.315378508519757,-8.41178333542567,0.29634776024393655
1440288000,231.16,233.25,226.15,229.21,30.41232265839608,257.4754999999999,273.0994,251.5834499999999,257.4754999999999,296.98819288469144,217.96280711530832,4312.65061,6630.978498499993,-3.4815557907993924,-12.76372807392491,-9.282172283125517,0.3069239044856041
1440374400,229.23,229.24,210,211.16,24.230847637413774,253.75799999999987,271.88779999999997,251.55544999999992,253.75799999999987,295.9221096668721,211.59389033312766,16523.80297,7178.156941999992,-4.10180581370097,-14.40942955025173,-10.30762373655076,0.33231748096116953
1440460800,211.16,229.49,198.02,223.73,34.25300448759813,250.80599999999987,270.9636,251.55809999999994,250.80599999999987,292.698145516792,208.91385448320773,19685.21977,7874.142906999992,-3.379382400906916,-14.531851737684406,-11.15246933677749,0.3340601541972055
1440547200,223.73,231.97,220.16,226.81,36.47040910421978,248.1639999999999,270.17619999999994,251.54714999999993,248.1639999999999,289.10050615282114,207.2274938471787,9756.27602,8110.563284499993,-2.451195253131786,-14.216463403192222,-11.765268150060436,0.3299149445755326
1440633600,226.72,229.99,224,225.8,36.04114657959055,245.45699999999994,269.27279999999996,251.55619999999996,245.45699999999994,284.7580560163442,206.15594398365567,7891.15934,8244.628257499993,-1.6981239618259565,-13.887923102342882,-12.189799140516925,0.320227624523597
1440720000,225.62,236.18,221.2,231.55,40.34595096623872,243.93349999999992,268.50879999999995,251.60844999999998,243.93349999999992,282.90917357980913,204.95782642019074,9155.362,8398.324516999992,-0.6590113628671812,-13.013563344100902,-12.35455198123372,0.3195598274104148
