time,open,high,low,close,RSI,Plot,Plot,Plot,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,Bollinger Bands Width
1599097500,11428.54,11441.76,11426.61,11438.18,57.716747993743695,11410.705500000004,11373.823200000003,11713.096799999994,11410.705500000004,11449.496532208303,11371.914467791705,74.75947,109.20849800000035,1.7939961222619774,9.042614466396117,7.248618344134139,0.006799059393531612
1599098400,11436.74,11449.69,11418.67,11434.36,56.62779818083405,11414.089000000004,11375.110200000003,11712.093499999994,11414.089000000004,11448.489379604332,11379.688620395675,67.11284,107.75647000000035,2.0324054875761055,9.789125203604272,7.756719716028166,0.006027704813643718
1599099300,11436.45,11437.18,11412.83,11420.57,52.758069686823234,11415.782000000005,11376.6008,11711.285399999993,11415.782000000005,11447.881842130346,11383.682157869664,67.25071,106.16468100000034,1.1245316878788287,9.162384325876701,8.037852637997872,0.0056237657885094714
1599100200,11423.34,11438.95,11415.06,11420.51,52.74118191527698,11417.691500000004,11377.703000000001,11710.352949999993,11417.691500000004,11445.911082060658,11389.47191793935,66.18147,103.59277550000033,0.41943554135020733,8.562147064685632,8.142711523335425,0.0049431326920426795
1599101100,11420.51,11443.62,11407.82,11433.66,56.06084731383169,11419.903500000004,11379.129200000001,11709.458499999993,11419.903500000004,11445.747572662796,11394.059427337212,77.11066,105.09706600000034,0.7204741650763573,9.04330422968087,8.322830064604513,0.004526145542787171
1599102000,11433.67,11445.02,11410,11410.01,49.34712483157753,11420.433000000005,11380.971800000001,11708.476399999992,11420.433000000005,11444.977981661896,11395.888018338113,86.65983,105.41144050000034,-0.7137745062182805,7.430611931831663,8.144386438049944,0.0042984327585287065
1599102900,11410.01,11410.01,11383.03,11383.13,43.03838653294898,11418.498500000005,11383.693800000001,11707.254949999991,11418.498500000005,11447.916266261875,11389.080733738136,92.31942,102.53666700000034,-3.364986168247613,3.9381537277404277,7.303139895988041,0.005152650545405679
1599103800,11383.13,11393.54,11354.8,11370.68,40.45841846524007,11416.147000000004,11384.213400000002,11706.000549999992,11416.147000000004,11452.20922684235,11380.08477315766,87.8112,100.67040900000033,-5.711427387101618,0.16385566211101832,5.875283049212636,0.006317757969014394
1599104700,11370.9,11391.96,11344.86,11368.53,40.01234524810315,11412.621000000005,11384.971600000004,11704.70319999999,11412.621000000005,11452.61249605537,11372.62950394464,64.02964,95.79912550000033,-7.073500634915054,-2.966592744431182,4.106907890483872,0.007008293021447942
1599105600,11365.72,11390.84,11363.95,11389.04,46.11573486538467,11410.869000000006,11385.915200000005,11703.42489999999,11410.869000000006,11451.759007539873,11369.97899246014,71.39197,95.98784950000032,-6.28495877761017,-3.7492905815288395,2.5356681960813297,0.007166852505250372
1599106500,11389.07,11392.61,11343,11343.28,37.056715747245946,11406.614000000005,11385.948600000005,11702.05834999999,11406.614000000005,11456.130665646067,11357.097334353943,66.20939,92.86168750000033,-8.40466159274599,-7.970158794851159,0.4345027978948317,0.008682097184328736
1599107400,11343.01,11355.4,11320,11330.11,34.92997404023754,11402.455500000007,11386.391200000005,11700.59354999999,11402.455500000007,11461.99047274579,11342.920527254224,116.79516,89.56582650000033,-10.137103914615416,-12.236877095374439,-2.0997731807590223,0.010442482804828008
1599108300,11330.95,11333.41,11282,11292.89,29.735940210862836,11397.326000000005,11386.155000000006,11698.876099999992,11397.326000000005,11473.68275567364,11320.969244326368,194.88871,92.76681250000033,-13.047711677020748,-18.40941277703496,-5.36170110001421,0.013399064951487061
1599109200,11290.59,11314.9,11271.35,11314.9,35.814130558868,11392.822000000004,11386.899600000006,11697.223699999991,11392.822000000004,11477.061553803587,11308.58244619642,125.85006,92.13029050000031,-12.73453324212533,-21.279867652670873,-8.545334410545543,0.01478818045319824
